name 비맥스메타정 
vitE 0.0 
coQ10 0.0 
bisbenthiamine 5 
fursulthiamine 0.0 
benfothiamine 95 
pyridoxine 100 
magnesium 100 
manganese 0.0 
choline 100 
riboflavin 100 
vitC 0.0 
vitB5 100 
vitB12 0.5 
calcium 0.0 
biotin 0.1 
vitD3 10 
molybdenum 0.0 
betacarotene 0.0 
vitB3 10 
chondroitin 0.0 
selenium 40 
royaljelly 0.0 
ursodeoxycholicacid 30 
inositol 100 
ferrum 0.0 
vitB3 10 
folicacid 0.4 
zinc 30 
gammaoryzanol 0.0 
butyrated_vitB2 0.0 
pyridoxalphosphate 0.0 
