name ¾Æ·Î³ª¹Î°ñµåÁ¤ 
vitE 40 
coQ10 0.0 
bisbenthiamine 0.0 
fursulthiamine 50 
benfothiamine 0.0 
pyridoxine 0.0 
magnesium 0.0 
manganese 0.0 
choline 0.0 
riboflavin 0.0 
vitC 72.2 
vitB5 0.0 
vitB12 5.22 
calcium 0.0 
biotin 0.0 
vitD3 0.0 
molybdenum 0.0 
betacarotene 0.0 
vitB3 0.0 
chondroitin 0.0 
selenium 0.0 
royaljelly 0.0 
ursodeoxycholicacid 0.0 
inositol 0.0 
ferrum 0.0 
vitB3 0.0 
folicacid 0.0 
zinc 0.0 
gammaoryzanol 0.0 
butyrated_vitB2 2.5 
pyridoxalphosphate 2.5 
