name 메가트루골드정 
β-카로틴20%과립 25.0 
니코틴산아미드 30.0 
d-비오틴1% 10.0 
폴산 0.2 
인산수소칼슘수화물 214.7 
산화마그네슘 41.5 
황산망간수화물 15.4 
몰리브덴함유건조효모 2.5 
셀레늄함유건조효모 46.3 
산화아연 18.7 
이노시톨 30.0 
농축콜레칼시페롤 산 4.0 
콜린타르타르산염 30.0 
우르소데옥시콜산 10.0 
콘드로이틴설페이트나트륨 20.0 
토코페롤아세테이트 2배산 20.0 
벤포티아민 35.0 
리보플라빈 30.0 
피리독신염산염 30.0 
시아노코발라민100배산 5.0 
아스코르브산과립97% 51.5 
판토텐산칼슘 30.0 
