name 비맥스메타정 
selenium 40 
vitB12 0.5 
ursodeoxycholicacid 30 
inositol 100 
vitD3 10 
choline 100 
vitB5 100 
vitB3 10 
folicacid 0.4 
pyridoxine 100 
riboflavin 100 
benfothiamine 95 
bisbenthiamine 5 
biotin 0.1 
magnesium 100 
zinc 30 
vitE 0.0 
coQ10 0.0 
fursulthiamine 0.0 
manganese 0.0 
vitC 0.0 
calcium 0.0 
molybdenum 0.0 
betacarotene 0.0 
chondroitin 0.0 
royaljelly 0.0 
ferrum 0.0 
gammaoryzanol 0.0 
butyrated_vitB2 0.0 
pyridoxalphosphate 0.0 
